,新词,权重,互信息,左熵,右熵
0,容易,27.852455097522373,5.7507235276525295,4.843295798101403,3.3200069180087484
1,严重,24.18361501307356,4.8826947550094575,4.952923790343867,3.362556671064392
2,比较,23.370629295658926,5.766216456695637,4.053026706710139,1.7917484760868954
3,需要,22.775133674310837,4.125129540329503,5.521071144954063,4.895035986369439
4,可以,22.243765609296332,3.716307945923604,5.985447366840358,4.395111318689839
5,胶囊,22.129859373065347,4.523369406616396,4.236613816688651,4.892339622029474
6,导致,22.092745420206914,5.517332990466109,2.6412800292791645,4.004243618861311
7,过敏,22.083853550608783,4.822228425725604,4.579595075338185,2.8769531446767886
8,患者,21.892336147528777,3.9747746020659798,2.9632191351892296,5.507818263745002
9,属于,21.743604962652405,5.347635162222368,3.7027509148938167,4.066022513326471
10,红霉素,25.84181262681792,5.611685645719344,2.1959305501129136,4.605000040679459
11,林颗粒,25.823085779669068,5.262351410403673,0.09478216257220051,4.907138228856554
12,婴幼儿,24.903729141194137,6.1729137825251295,1.474001236595332,4.034355576404449
13,会导致,24.786582135260655,6.065421198277494,3.6571026896837195,4.086539306173782
14,众生丸,24.72675259797125,6.651956725434957,2.432191907524198,3.717214891585817
15,制氧机,24.63385648486153,7.60515955632398,1.404678473063571,3.2390979179887864
16,羚羊角,24.56346972617801,9.088090952208992,2.702819531114783,1.5
17,流鼻涕,24.486709094377613,7.202953659007701,3.3995372250875997,3.1949467642766165
18,有哪些,23.910007238503262,4.667919548090312,5.12219779972109,3.476343258972329
19,需要注,23.818748515762344,5.071082994964277,4.696974697399946,0.0
20,需要注意,29.312784354405416,6.240779702439483,4.696974697399946,1.5200316100209592
21,韦林颗粒,29.265592295722147,5.998174149917594,0.0,4.87908346177715
22,"道感染,",28.764806689712906,4.664480287361948,0.0,6.166776343261423
23,罗红霉素,27.962582005641277,6.555616297485834,2.500799582790226,4.265439088673524
24,百令胶囊,27.917235496214484,7.297378024509085,1.3806596405306308,3.825652912929991
25,苄啶胶囊,27.027585245343815,7.36543535429009,0.0,3.6695163212044566
26,威机构在,26.505502229308163,9.44145039198727,0.0,2.8073549220576046
27,蛤青胶囊,26.12297282687722,7.300883300531608,0.0,3.578056483244308
28,干混悬剂,25.74038984161801,8.65509822049289,1.3926844736036157,2.9740147582232925
29,阿奇霉素,25.61441848695777,6.709235774241509,2.8414985042455028,3.817784819144104
