,新词,权重,互信息,左熵,右熵
0,企业,12.69153903881537,3.603871135469851,3.3248629576173574,3.52164063634332
1,涵盖,12.636498769229147,4.501211681481098,2.8073549220576046,2.8073549220576046
2,必须,12.336123554156273,3.951443844705641,2.9219280948873623,3.121928094887362
3,患者,12.314760153360393,3.703839920724227,2.6644977792004614,3.3248629576173574
4,医保,12.160086468293834,2.7563982736313344,3.8180140336406287,4.411585431837429
5,严重,12.083140067474444,4.099171786468726,2.94770277922009,0.5032583347756457
6,没有,11.812506151299116,3.150001640346431,3.75,3.375
7,基本,11.087888655200853,3.695962885066951,3.0,2.5
8,药物,10.9051739755307,2.975898644946114,2.9852281360342525,3.6644977792004623
9,报销,10.650411737491087,4.2236041028175455,2.5216406363433186,2.5216406363433186
10,严重疾,15.013320625520747,5.459389318371181,2.75,0.0
11,动车组,13.785754863539271,5.937201455072632,1.3709505944546687,2.321928094887362
12,铁道部,13.369142982123616,5.171890492954492,2.584962500721156,2.584962500721156
13,救命药,12.733062441517477,4.630204524188174,1.5487949406953985,2.75
14,注射剂,11.4973159317765,5.982177981768001,0.0,1.9219280948873623
15,掏空六,10.19502360506055,6.432343730796045,1.584962500721156,0.0
16,特斯拉,10.19502360506055,6.432343730796045,1.584962500721156,1.584962500721156
17,城镇职,10.024942285618861,6.3250343658335915,1.584962500721156,0.0
18,一部分,9.630188100648052,4.815094050324026,2.0,1.5
19,水滴筹,9.527736214938155,6.011332262184781,0.9182958340544896,1.584962500721156
20,严重疾病,16.268858563709113,5.915948568621496,2.75,1.75
21,药注射剂,11.482435066459976,5.974435306401472,0.0,1.9219280948873623
22,城镇职工,11.173719701988698,7.049832218052269,1.584962500721156,0.0
23,药救命药,11.1242117712894,4.790937236938442,0.0,2.321928094887362
24,掏空六个,10.705929017305085,6.754689156641813,1.584962500721156,0.0
25,职工医保,10.547496106197169,5.2737480530985845,0.8112781244591328,2.0
26,中药注射,10.439825110442353,5.431954056040893,1.9219280948873623,0.0
27,得到曝光,10.361572725196746,6.537424526121118,1.584962500721156,0.9182958340544896
28,路动车组,10.332557617077962,6.519118031105885,0.0,1.584962500721156
29,新药救命,9.498941377592665,5.299325376866199,1.7924812503605778,0.6500224216483541
